id,loan_status
58645,0.9997931
58646,0.30614665
58647,0.9694893
58648,0.21539867
58649,0.41886997
58650,0.9990714
58651,0.010554438
58652,0.0397488
58653,0.98828024
58654,0.99774504
58655,0.98146826
58656,0.8712538
58657,0.39861763
58658,0.0652114
58659,0.31975
58660,0.98926693
58661,0.15778291
58662,0.02138991
58663,0.30629846
58664,0.045512434
58665,0.9430742
58666,0.18834019
58667,0.044820596
58668,0.08349146
58669,0.08194457
58670,0.012990356
58671,0.8730919
58672,0.035816804
58673,0.9983895
58674,0.104500346
58675,0.12829404
58676,0.87790114
58677,0.4271564
58678,0.017999811
58679,0.9766602
58680,0.99856216
58681,0.2328389
58682,0.009278233
58683,0.24462408
58684,0.35365883
58685,0.9037766
58686,0.20539784
58687,0.9995404
58688,0.06768578
58689,0.91193897
58690,0.014372382
58691,0.14589804
58692,0.29620597
58693,0.0744516
58694,0.17944755
58695,0.95930374
58696,0.3076911
58697,0.1678331
58698,0.07133702
58699,0.32121214
58700,0.058505315
58701,0.11861286
58702,0.27184737
58703,0.98714435
58704,0.9728016
58705,0.9049082
58706,0.3257205
58707,0.1398957
58708,0.2765006
58709,0.99024934
58710,0.2038035
58711,0.9781637
58712,0.18182029
58713,0.011851535
58714,0.33147797
58715,0.03947781
58716,0.22406013
58717,0.11353951
58718,0.33820352
58719,0.013121955
58720,0.008704135
58721,0.9924174
58722,0.73059416
58723,0.2983508
58724,0.24510287
58725,0.111581236
58726,0.17167136
58727,0.99800485
58728,0.3445973
58729,0.0625881
58730,0.40749928
58731,0.18205614
58732,0.52069545
58733,0.0061845114
58734,0.12711038
58735,0.15753986
58736,0.8152652
58737,0.90027195
58738,0.9918711
58739,0.9906999
58740,0.9793337
58741,0.1971614
58742,0.047692925
58743,0.26783633
58744,0.07649931
58745,0.09173415
58746,0.86377954
58747,0.029882306
58748,0.18893243
58749,0.9598393
58750,0.28185242
58751,0.9817144
58752,0.99882096
58753,0.08070229
58754,0.74178493
58755,0.98134494
58756,0.07021904
58757,0.95747507
58758,0.024762776
58759,0.00499267
58760,0.1411873
58761,0.16948129
58762,0.015093015
58763,0.9978262
58764,0.0073938854
58765,0.9972187
58766,0.2029507
58767,0.2763546
58768,0.99825585
58769,0.13912553
58770,0.65489745
58771,0.8394179
58772,0.9190476
58773,0.19820528
58774,0.11787585
58775,0.99775213
58776,0.9010624
58777,0.13626595
58778,0.083232835
58779,0.27198574
58780,0.090983965
58781,0.15441802
58782,0.107576296
58783,0.9799908
58784,0.11299161
58785,0.030214043
58786,0.24320798
58787,0.99744225
58788,0.89568543
58789,0.9897214
58790,0.85236394
58791,0.37777784
58792,0.0046604793
58793,0.9429855
58794,0.07412614
58795,0.9766809
58796,0.16518377
58797,0.9201303
58798,0.99418354
58799,0.58408433
58800,0.3393455
58801,0.015936874
58802,0.9972509
58803,0.9391818
58804,0.9962774
58805,0.9905793
58806,0.89034796
58807,0.045955796
58808,0.027357405
58809,0.9987949
58810,0.99697196
58811,0.2582956
58812,0.22288248
58813,0.06724371
58814,0.83634835
58815,0.14242144
58816,0.40892366
58817,0.018912317
58818,0.38710496
58819,0.5514933
58820,0.018235793
58821,0.11188855
58822,0.23629011
58823,0.957294
58824,0.31351545
58825,0.04243035
58826,0.19710186
58827,0.41956785
58828,0.076356575
58829,0.069169156
58830,0.1623088
58831,0.4825291
58832,0.31020263
58833,0.04043753
58834,0.101213306
58835,0.99883837
58836,0.33913177
58837,0.9973845
58838,0.08606427
58839,0.017563863
58840,0.36637488
58841,0.9809932
58842,0.049203172
58843,0.18821329
58844,0.25583464
58845,0.13383986
58846,0.009753056
58847,0.99856865
58848,0.7235427
58849,0.9926461
58850,0.20721819
58851,0.77090687
58852,0.93091303
58853,0.3221792
58854,0.99935365
58855,0.99379927
58856,0.021784037
58857,0.31008187
58858,0.9938935
58859,0.19324592
58860,0.04015501
58861,0.8339766
58862,0.8368179
58863,0.9454673
58864,0.24618036
58865,0.9313476
58866,0.22174859
58867,0.007819469
58868,0.060014177
58869,0.07697112
58870,0.98660976
58871,0.028641397
58872,0.99750584
58873,0.27521354
58874,0.9991968
58875,0.12046027
58876,0.10817373
58877,0.039811917
58878,0.2920324
58879,0.11331074
58880,0.24081336
58881,0.08310467
58882,0.023961782
58883,0.70623624
58884,0.993691
58885,0.59948814
58886,0.043115966
58887,0.9992469
58888,0.99429727
58889,0.9990302
58890,0.9873053
58891,0.66943777
58892,0.24237143
58893,0.060473803
58894,0.09578385
58895,0.02255881
58896,0.13033278
58897,0.84978986
58898,0.9895662
58899,0.9967596
58900,0.38919482
58901,0.9400837
58902,0.6263137
58903,0.039158292
58904,0.9931416
58905,0.035578165
58906,0.8890705
58907,0.56470895
58908,0.06875334
58909,0.54229105
58910,0.010059551
58911,0.16210324
58912,0.02152103
58913,0.40242678
58914,0.08475627
58915,0.14770937
58916,0.10281514
58917,0.8411143
58918,0.1655228
58919,0.06982148
58920,0.9890284
58921,0.038158502
58922,0.33862662
58923,0.038831454
58924,0.21347925
58925,0.6381813
58926,0.8887417
58927,0.82792324
58928,0.90171015
58929,0.022005469
58930,0.18325363
58931,0.9995078
58932,0.9456578
58933,0.46200508
58934,0.91220593
58935,0.1241774
58936,0.32860214
58937,0.2164993
58938,0.50823057
58939,0.064231016
58940,0.11530369
58941,0.99883896
58942,0.9977928
58943,0.08392344
58944,0.9929739
58945,0.95623976
58946,0.6306928
58947,0.14079262
58948,0.16934535
58949,0.02869273
58950,0.83751893
58951,0.84792775
58952,0.09057939
58953,0.07870154
58954,0.9981815
58955,0.35007685
58956,0.022754425
58957,0.99769646
58958,0.99932617
58959,0.07727325
58960,0.16581284
58961,0.047385294
58962,0.69793665
58963,0.7990154
58964,0.3641751
58965,0.097298905
58966,0.1290251
58967,0.044087794
58968,0.052207805
58969,0.9821719
58970,0.028940916
58971,0.42489445
58972,0.6379279
58973,0.9987496
58974,0.22306794
58975,0.9207301
58976,0.344136
58977,0.12108082
58978,0.08812298
58979,0.2390404
58980,0.87833637
58981,0.040997762
58982,0.108920425
58983,0.04880678
58984,0.112369694
58985,0.95152676
58986,0.99839836
58987,0.05841873
58988,0.37574455
58989,0.31020373
58990,0.047626086
58991,0.13183597
58992,0.16603653
58993,0.01992347
58994,0.19845942
58995,0.99946
58996,0.99661005
58997,0.9029262
58998,0.030504273
58999,0.26530248
59000,0.36093843
59001,0.9962325
59002,0.2093628
59003,0.83745337
59004,0.68178177
59005,0.13981813
59006,0.09800635
59007,0.08244671
59008,0.9990308
59009,0.10471352
59010,0.04153288
59011,0.028573269
59012,0.096460246
59013,0.14170015
59014,0.12856367
59015,0.9969375
59016,0.5368378
59017,0.68238866
59018,0.36136958
59019,0.09656812
59020,0.04357588
59021,0.18163213
59022,0.92522615
59023,0.99927676
59024,0.2244344
59025,0.99841
59026,0.23832792
59027,0.1305746
59028,0.8665972
59029,0.119682275
59030,0.09985484
59031,0.7949441
59032,0.8718748
59033,0.52221525
59034,0.9406919
59035,0.1228765
59036,0.9901494
59037,0.4212783
59038,0.09520222
59039,0.08357666
59040,0.098333225
59041,0.106383175
59042,0.9951152
59043,0.99939096
59044,0.09245555
59045,0.25009397
59046,0.88859785
59047,0.31520173
59048,0.14021657
59049,0.8693938
59050,0.08058835
59051,0.2827403
59052,0.035821695
59053,0.05044368
59054,0.09178927
59055,0.8793032
59056,0.023213187
59057,0.98800546
59058,0.061028186
59059,0.23122
59060,0.22847916
59061,0.008330155
59062,0.31248295
59063,0.027275113
59064,0.15913503
59065,0.011665099
59066,0.9970998
59067,0.0407635
59068,0.8143266
59069,0.186126
59070,0.028464548
59071,0.23881552
59072,0.18407188
59073,0.9959958
59074,0.5905589
59075,0.99733126
59076,0.14229788
59077,0.98214626
59078,0.811468
59079,0.90901625
59080,0.1565731
59081,0.13507432
59082,0.61906487
59083,0.043856647
59084,0.007748498
59085,0.75846004
59086,0.66673625
59087,0.1528995
59088,0.46408355
59089,0.5646049
59090,0.6543815
59091,0.015604319
59092,0.8820318
59093,0.15251638
59094,0.05353687
59095,0.008261589
59096,0.9991813
59097,0.9975112
59098,0.4232265
59099,0.111239366
59100,0.05303867
59101,0.08098984
59102,0.15822722
59103,0.2183686
59104,0.020726599
59105,0.30627754
59106,0.012614242
59107,0.5658567
59108,0.47811505
59109,0.4256795
59110,0.10059567
59111,0.18417108
59112,0.29654163
59113,0.9993482
59114,0.99028707
59115,0.8851794
59116,0.01979101
59117,0.1456142
59118,0.8340557
59119,0.797757
59120,0.025746338
59121,0.0517752
59122,0.98910695
59123,0.9982683
59124,0.99104095
59125,0.26788306
59126,0.9988479
59127,0.29707545
59128,0.9939561
59129,0.22957566
59130,0.16197476
59131,0.34830046
59132,0.72761947
59133,0.5647876
59134,0.31542233
59135,0.006621797
59136,0.038591564
59137,0.26823387
59138,0.21296449
59139,0.022781014
59140,0.8758617
59141,0.9985431
59142,0.6942867
59143,0.42773506
59144,0.06582236
59145,0.8933863
59146,0.30676344
59147,0.21429634
59148,0.18450846
59149,0.274646
59150,0.16231407
59151,0.18084532
59152,0.16478625
59153,0.14298138
59154,0.8989964
59155,0.2844146
59156,0.99765337
59157,0.09572814
59158,0.75530994
59159,0.22377944
59160,0.291627
59161,0.19680007
59162,0.22711231
59163,0.6581458
59164,0.11977301
59165,0.959226
59166,0.0732009
59167,0.920295
59168,0.95088446
59169,0.9993503
59170,0.43485266
59171,0.102186814
59172,0.25080004
59173,0.11939356
59174,0.053425718
59175,0.08451582
59176,0.17148459
59177,0.098952726
59178,0.070449196
59179,0.04315175
59180,0.5387553
59181,0.67976165
59182,0.9988756
59183,0.23536399
59184,0.9736627
59185,0.97090495
59186,0.28362247
59187,0.04753412
59188,0.74515975
59189,0.21396743
59190,0.09443169
59191,0.053843804
59192,0.9142531
59193,0.03947717
59194,0.6683612
59195,0.099532865
59196,0.22475909
59197,0.48624408
59198,0.9215276
59199,0.04914579
59200,0.98967266
59201,0.0688232
59202,0.030325944
59203,0.99631673
59204,0.13207039
59205,0.083013475
59206,0.23013416
59207,0.064184576
59208,0.1012866
59209,0.1361807
59210,0.31903702
59211,0.99700177
59212,0.9156692
59213,0.99227166
59214,0.16642871
59215,0.13857746
59216,0.99713224
59217,0.038857408
59218,0.04060783
59219,0.0732407
59220,0.5676896
59221,0.9944481
59222,0.12952273
59223,0.16106626
59224,0.97852874
59225,0.06937054
59226,0.07295204
59227,0.98215497
59228,0.9408125
59229,0.027925959
59230,0.17217241
59231,0.047342196
59232,0.9284482
59233,0.10234616
59234,0.82806754
59235,0.050166387
59236,0.719004
59237,0.29635575
59238,0.053073205
59239,0.9187332
59240,0.075691834
59241,0.89511895
59242,0.2577601
59243,0.9827509
59244,0.09065733
59245,0.9939904
59246,0.16003494
59247,0.32522827
59248,0.06667692
59249,0.6657649
59250,0.9710736
59251,0.9973595
59252,0.029974401
59253,0.46208283
59254,0.22226094
59255,0.03775019
59256,0.009610778
59257,0.9916158
59258,0.17461535
59259,0.999703
59260,0.1987847
59261,0.12676282
59262,0.47107422
59263,0.004325388
59264,0.07278088
59265,0.89776504
59266,0.9926404
59267,0.9494793
59268,0.87553793
59269,0.052610915
59270,0.9995037
59271,0.039732426
59272,0.9596593
59273,0.43008423
59274,0.995415
59275,0.22181931
59276,0.15308045
59277,0.08894106
59278,0.3675118
59279,0.080727234
59280,0.11340484
59281,0.3146834
59282,0.10975512
59283,0.21567847
59284,0.052084476
59285,0.26601285
59286,0.9848542
59287,0.11417867
59288,0.9985598
59289,0.1392487
59290,0.98556674
59291,0.39870182
59292,0.0149815325
59293,0.24878559
59294,0.99853396
59295,0.19674489
59296,0.085777745
59297,0.74358666
59298,0.73557156
59299,0.28647795
59300,0.20058545
59301,0.11381342
59302,0.21761923
59303,0.23789892
59304,0.7291247
59305,0.76601255
59306,0.43025926
59307,0.16835088
59308,0.54988563
59309,0.15124996
59310,0.04303927
59311,0.4563978
59312,0.16218115
59313,0.9994775
59314,0.94069296
59315,0.03845329
59316,0.9893515
59317,0.9813459
59318,0.13828209
59319,0.57167196
59320,0.3467472
59321,0.2258988
59322,0.9943839
59323,0.8542294
59324,0.9138477
59325,0.7119621
59326,0.35768414
59327,0.5714272
59328,0.08069803
59329,0.165445
59330,0.99430466
59331,0.13116191
59332,0.08735451
59333,0.03925633
59334,0.37431896
59335,0.17112337
59336,0.2913699
59337,0.14286508
59338,0.26106218
59339,0.8572143
59340,0.9972911
59341,0.28393742
59342,0.10821394
59343,0.066602126
59344,0.531047
59345,0.16694343
59346,0.15016393
59347,0.99772584
59348,0.055448044
59349,0.6336707
59350,0.09666279
59351,0.5040096
59352,0.9546402
59353,0.9773891
59354,0.99886173
59355,0.019608848
59356,0.06791029
59357,0.06766608
59358,0.40746057
59359,0.82515955
59360,0.98193693
59361,0.04011149
59362,0.99825096
59363,0.010323754
59364,0.13438776
59365,0.068377554
59366,0.10346034
59367,0.3389461
59368,0.9910597
59369,0.59634763
59370,0.069627576
59371,0.024087925
59372,0.99854755
59373,0.26518983
59374,0.056981176
59375,0.9993526
59376,0.9730762
59377,0.17354725
59378,0.8816151
59379,0.29241148
59380,0.6742445
59381,0.20356733
59382,0.99271005
59383,0.98761076
59384,0.2760533
59385,0.15477857
59386,0.733109
59387,0.99904907
59388,0.83985853
59389,0.6398063
59390,0.33168924
59391,0.59481907
59392,0.2649497
59393,0.9986848
59394,0.9984737
59395,0.3013761
59396,0.3295948
59397,0.31904083
59398,0.07675188
59399,0.16987139
59400,0.5066854
59401,0.14112273
59402,0.7964138
59403,0.17410061
59404,0.36687347
59405,0.016056981
59406,0.07903274
59407,0.049434688
59408,0.5306065
59409,0.31562582
59410,0.12382458
59411,0.11183007
59412,0.14109741
59413,0.010603221
59414,0.93406534
59415,0.9923255
59416,0.13557228
59417,0.0636159
59418,0.03797986
59419,0.015124328
59420,0.99790096
59421,0.85410106
59422,0.40286458
59423,0.16670972
59424,0.99897015
59425,0.9907757
59426,0.055293187
59427,0.071459
59428,0.328102
59429,0.029623384
59430,0.10366393
59431,0.25034553
59432,0.023213187
59433,0.99708223
59434,0.029396726
59435,0.024655571
59436,0.02393383
59437,0.20945407
59438,0.66263723
59439,0.9937591
59440,0.06657726
59441,0.37046325
59442,0.016592633
59443,0.16096321
59444,0.46150097
59445,0.41005108
59446,0.43705836
59447,0.2417454
59448,0.08500201
59449,0.21640882
59450,0.16351861
59451,0.99107873
59452,0.18757696
59453,0.122835636
59454,0.9988376
59455,0.36079827
59456,0.3391113
59457,0.9987589
59458,0.3600223
59459,0.87833077
59460,0.9879647
59461,0.092720084
59462,0.9988575
59463,0.053425267
59464,0.9236514
59465,0.9923269
59466,0.29403847
59467,0.81005424
59468,0.011511303
59469,0.21744674
59470,0.07629843
59471,0.10680117
59472,0.5407642
59473,0.16565658
59474,0.35697478
59475,0.31681457
59476,0.20172529
59477,0.07221188
59478,0.04615008
59479,0.15661438
59480,0.10185062
59481,0.29455796
59482,0.9906733
59483,0.12592795
59484,0.040286124
59485,0.16525128
59486,0.5725707
59487,0.12926964
59488,0.99488807
59489,0.1658196
59490,0.1365614
59491,0.9985291
59492,0.1527734
59493,0.27329698
59494,0.05005562
59495,0.9816883
59496,0.13302772
59497,0.9991427
59498,0.32324347
59499,0.7661797
59500,0.99926203
59501,0.6592624
59502,0.9979636
59503,0.9957533
59504,0.047977984
59505,0.24898201
59506,0.022266638
59507,0.05087251
59508,0.14814287
59509,0.15131573
59510,0.99806184
59511,0.02939827
59512,0.08444941
59513,0.99729335
59514,0.07621413
59515,0.14719903
59516,0.8086724
59517,0.9756119
59518,0.05562654
59519,0.10239346
59520,0.22489303
59521,0.9966023
59522,0.9974809
59523,0.6014664
59524,0.076989114
59525,0.77923316
59526,0.9952256
59527,0.13491338
59528,0.32661486
59529,0.064100176
59530,0.9988954
59531,0.19069031
59532,0.0042069815
59533,0.9165467
59534,0.96131045
59535,0.22777112
59536,0.3203704
59537,0.17496204
59538,0.5405208
59539,0.16028559
59540,0.6030317
59541,0.6346971
59542,0.3791915
59543,0.74293554
59544,0.7759478
59545,0.102641106
59546,0.16760299
59547,0.23794863
59548,0.028641397
59549,0.9691448
59550,0.0887658
59551,0.15492511
59552,0.123435296
59553,0.15330388
59554,0.99906343
59555,0.22914217
59556,0.05853826
59557,0.052206956
59558,0.11641195
59559,0.20267381
59560,0.07206144
59561,0.06029573
59562,0.7319304
59563,0.03239204
59564,0.97974426
59565,0.25802615
59566,0.4356561
59567,0.10446591
59568,0.03516916
59569,0.07519108
